Název,Adresa,Lat.,Lon.,Followers,events
Muzejní komplex Národního muzea,Václavské nám. 68,50.0798,14.4304,810,3
HaDivadlo,Poštovská 8d,49.1947,16.6102,796,20
Studio Hrdinů,Dukelských hrdinů 47,50.1018,14.4327,767,23
Papírna,Zahradní 173/2,49.7366,13.3859,742,9
Neone,Pražská tržnice,50.0998,14.4447,720,0
Dolní Vítkovice,Vítkovice 3004,49.8187,18.2795,706,38
Prague Beach,Hořejší nábřeží 2,50.0669,14.4111,693,0
Malostranská beseda,Malostranské náměstí 21,50.0874,14.4043,673,2
(A)void Floating Gallery,Náplavka na Výtoni u Železničního mostu,50.0681,14.4145,669,0
Dům fotografie,Revoluční 5,50.09,14.4272,651,2
Uměleckoprůmyslové museum v Praze (historická budova),17. listopadu 2,50.0899,14.4163,645,14
Klubovna 2. patro,Dlouhá 37,50.0908,14.4266,639,0
Potrvá,Srbská 2,50.099,14.4058,598,2
UMPRUM,Náměstí Jana Palacha 80,50.0887,14.4149,597,5
Wildt,Dukelských Hrdinů 770/53,50.104,14.4315,595,0
Planetárium Praha,Královská obora 233,50.1055,14.4275,589,0
Online,,0.0,0.0,573,12
Bukowski's Bar,Bořivojova 86,50.083,14.4485,564,0
Mahenovo divadlo,Malinovského nám. 1,49.1959,16.6137,560,27
Galerie Tančící dům,Jiráskovo náměstí 1981 ,50.0755,14.4142,554,0
Galerie hlavního města Prahy,Staroměstské náměstí 13,50.0878,14.4219,544,11
Arena Pilsen,Lidická 732/33,49.7671,13.3729,528,1
Divadlo DISK,Karlova 26,50.086,14.4172,505,0
Café Lajka,U Akademie 366/11,50.1024,14.4245,484,0
Zach's pub,Palackého nám. 2,49.7482,13.371,475,20
Kino MAT,Karlovo náměstí 19,50.0778,14.4193,463,27
Radlická – kulturní sportovna,Za Ženskými domovy 125/5,50.0681,14.4038,455,3
Royal Theatre & Club Chic,Vinohradská 48,50.0769,14.4416,446,52
Dům U Kamenného zvonu,Staroměstské náměstí 13,50.0878,14.4219,443,3
Amfiteátr Lochotín,Pod Vinicemi 928/6,49.7592,13.3617,441,0
Divadlo Pod lampou,Havířská 11,49.7387,13.3696,434,3
Trojhalí Karolina,K Trojhalí 3361/5,49.8325,18.2858,433,6
Vlkova 26,Vlkova 699/26,50.0834,14.4468,427,0
Činoherní klub,Ve Smečkách 26,50.0793,14.4275,426,1
Czech Inn Bar,Francouzská 76,50.0719,14.4463,410,25
Bunkr Parukářka Praha,Vrch svatého Kříže,50.0859,14.463,402,0
Manifesto Smíchov,Náměstí 14. října 82/16,50.0738,14.4076,392,0
Podnik,Bubenská 1,50.0982,14.4366,389,0
Malá sportovní hala,Za Elektrárnou,50.1074,14.4322,387,0
36 Underground,Bubenské nábřeží 306/13,50.0998,14.4447,383,0
Dům umění města Brna,Malinovského náměstí 2,49.1963,16.6146,382,0
Divadlo Hybernia,Náměstí Republiky 3/4,50.0874,14.4288,381,49
Dům kultury města Ostravy,28. října 2556/124,49.8311,18.2728,373,2
Divadlo Mír,Halasova 19,49.8123,18.2695,370,0
Staré koupelny – BrickHouse,Vítkovická 3365,49.8215,18.2774,364,1
Hudební divadlo Karlín,Křižíkova 10,50.0901,14.4415,364,0
Distrikt7,Veletržní 61,50.1008,14.4261,360,2
Divadlo J. K. Tyla: Nové divadlo,Palackého náměstí 30,49.7493,13.3722,349,0
Anděl Music Bar,Bezručova 5,49.7454,13.3773,347,1
V. Kolona,Ústavní 91,50.1344,14.4188,347,0
